"Argentina",1980,
"Argentina",1981,
"Argentina",1982,
"Argentina",1983,
"Argentina",1984,
"Argentina",1985,
"Argentina",1986,
"Argentina",1987,
"Argentina",1988,
"Argentina",1989,
"Argentina",1990,38.7115384615
"Argentina",1991,
"Argentina",1992,
"Argentina",1993,
"Argentina",1994,
"Argentina",1995,
"Argentina",1996,
"Argentina",1997,38.7884615385
"Argentina",1998,
"Argentina",1999,35
"Argentina",2000,
"Argentina",2001,
"Argentina",2002,
"Argentina",2003,
"Argentina",2004,
"Argentina",2005,
"Argentina",2006,
"Argentina",2007,
"Australia",1980,34.5788456843
"Australia",1981,34.5788456843
"Australia",1982,34.3769226074
"Australia",1983,34.1173072228
"Australia",1984,34.4153841459
"Australia",1985,34.338461069
"Australia",1986,34.4826918382
"Australia",1987,34.6557687613
"Australia",1988,34.8192302997
"Australia",1989,34.7096158541
"Australia",1990,34.525000939
"Australia",1991,34.136537992
"Australia",1992,34.3365384615
"Australia",1993,34.6038466233
"Australia",1994,34.7442298302
"Australia",1995,34.6634615385
"Australia",1996,34.5961538462
"Australia",1997,34.5230759841
"Australia",1998,34.3942307692
"Australia",1999,34.363462008
"Australia",2000,34.3326932467
"Australia",2001,33.7423072228
"Australia",2002,33.4673086313
"Australia",2003,33.411538931
"Australia",2004,33.5961538462
"Australia",2005,33.2980769231
"Australia",2006,33.1403855544
"Australia",2007,33.1096144456
"Austria",1980,
"Austria",1981,
"Austria",1982,
"Austria",1983,
"Austria",1984,
"Austria",1985,
"Austria",1986,
"Austria",1987,
"Austria",1988,
"Austria",1989,
"Austria",1990,
"Austria",1991,
"Austria",1992,
"Austria",1993,
"Austria",1994,
"Austria",1995,31.661538931
"Austria",1996,31.9980773926
"Austria",1997,32.0730778621
"Austria",1998,31.9903846154
"Austria",1999,31.4923072228
"Austria",2000,31.3788452148
"Austria",2001,31.3519240159
"Austria",2002,31.3846153846
"Austria",2003,31.5673076923
"Austria",2004,31.7365394005
"Austria",2005,31.8442312387
"Austria",2006,31.8173076923
"Austria",2007,31.7613454965
"Bangladesh",1980,
"Bangladesh",1981,
"Bangladesh",1982,
"Bangladesh",1983,
"Bangladesh",1984,
"Bangladesh",1985,
"Bangladesh",1986,
"Bangladesh",1987,
"Bangladesh",1988,
"Bangladesh",1989,
"Bangladesh",1990,
"Bangladesh",1991,
"Bangladesh",1992,
"Bangladesh",1993,
"Bangladesh",1994,44.25
"Bangladesh",1995,
"Bangladesh",1996,
"Bangladesh",1997,
"Bangladesh",1998,
"Bangladesh",1999,
"Bangladesh",2000,
"Bangladesh",2001,
"Bangladesh",2002,
"Bangladesh",2003,
"Bangladesh",2004,
"Bangladesh",2005,
"Bangladesh",2006,
"Bangladesh",2007,
